Filename,Title,Description,PubDate,Tags
"100-things-to-do-tokyo.md","100 Things To Do When Visiting Tokyo: The Ultimate Bucket List","From iconic landmarks to hidden gems; here's your complete guide to experiencing the best of Tokyo. Whether you're a first-time visitor or a returning traveler; this list has something for everyone!","2026-01-30","TravelSpots"
"100-yen-shop-guide.md","What Can I Find at 100 Yen Shops?","A local's guide to Japan's dollar stores. Amazing finds for ¥100 each.","2026-09-10","Souvenirs🎁"
"2k-yen-bills-still-valid.md","Are 2k yen bills still valid in Japan or have they been discontinued?","Discover why 2000 yen notes are still valid yet rarely seen; and whether you should keep or spend this commemorative Japanese bill.","2025-03-03","Money"
"7-eleven-smoothie-payment.md","When Do You Pay for a Fruit Smoothie at 7-11?","A local's guide to ordering frozen fruit smoothies at Japanese convenience stores. Learn the payment process; best flavors; and insider tips!","2025-08-12","Restaurant🍣"
"affordable-anti-aging-cream.md","Where can I find affordable; high-quality anti-aging face cream for souvenirs?","Discover affordable; high-quality anti-aging face creams in Japan! Visit Atcosme stores for popular options or explore drugstores for budget-friendly choices.","2025-07-25","Souvenirs"
"airport-limousine-bus-guide.md","How Do Airport Limousine Buses Work and Do I Need Reservations?","A local's complete guide to Japan's airport limousine buses. Learn about reservations; pricing; routes; and why this might be your best airport transfer option.","2025-08-12","Transportation🚃"
"airport-limousine-bus.md","How Do Airport Limousine Buses Work?","A local explains airport bus services and why reservations aren't needed.","2026-12-22","Transportation🚃"
"airport-souvenirs-worth-it.md","Should I Buy Souvenirs at the Airport?","A local explains why airport shopping might be your best option.","2026-12-17","Souvenirs🎁"
"akihabara-guide-beginners.md","What to Do in Akihabara: A Beginner's Guide","A local explains Akihabara. Anime; electronics; and otaku culture.","2026-11-24","TravelSpots🗼"
"animal-cafe-tokyo.md","What Are Animal Cafes in Japan?","A local explains animal cafes. Cats; owls; hedgehogs and more.","2026-10-22","TravelSpots🗼"
"antique-markets-tokyo.md","Where Are the Best Antique Markets in Tokyo?","A local's guide to Tokyo's antique markets. When; where; and what to find.","2026-04-25","Souvenirs🎁"
